Decade,Year,Date,Location,Operator,Op_Code,Route,Type,Make_Type,Aboard,Fatalities,Summary
1981-1990,1985,1985-01-01,"Near La Paz, Bolivia",Eastern Air Lines,Passenger,"Asuncion, Paraguay - La Paz, Bolivia",Boeing B-727-225 Adv,Boeing,29.0,29.0,"The aircraft hit Mt. Illimani at an altitude of 19,600 feet after being cleared to descend during an approach to La Paz. The crew did not follow the prescribed airway. Navigation error. Controlled flight into terrain."
1981-1990,1985,1985-09-01,"Kansas City, Kansas",TPI International Airways,Passenger,Detroit - Kansas City,Lockheed L-188AF Electra,Lockheed,3.0,3.0,The cargo plane executed a missed approach because it was too high. The copilot mistakenly lined up with nearby Fairfax Airport to land. The captain took over and entered a steep climb for a go-around. The plane stalled and entered a dive and crashed into a water treatment plant. Improper IFR procedure. Airspeed not maintained which led to an inadvertent stall.
1981-1990,1985,1985-01-18,"Jinan, China",CAAC,Passenger,Nanjing - Jinan,Antonov AN-24B,Antonov,41.0,38.0,Crashed after overshooting the runway in rain and fog.
1981-1990,1985,1985-01-19,"Havana, Cuba",Cubana de Aviacion,Passenger,Havana - Managua,Ilyushin IL-18D,Ilyushin,38.0,38.0,The airliner crashed after takeoff. Failure of the artificial horizon and obstruction of aileron control due to shifted cargo.
1981-1990,1985,1985-01-20,"Carson, New Mexico",Air Taxi,Passenger,"Albuquerque, NM - Taos, NM -",Bell 206 L-1,Bell,3.0,3.0,The helicopter crashed in open terrain during a turn to reverse direction. Witnesses stated the aircraft was heading north and was on a converging course with high tension lines that were about 80 to 100 ft high and the belly counted spotlight was illuminated when it passed overhead. The helicopter impacted snow covered terrain in a steep descending bank to the right at a high rate of speed on a southerly heading. The power lines showed no evidence of having been struck. Pilot did not maintain directional control.
1981-1990,1985,1985-01-21,"Reno, Nevada",Galaxy Airlines,Passenger,"Reno, NV - Minneapolis-St. Paul, MN",Lockheed L-188A Electra,Lockheed,71.0,70.0,"The aircraft crashed while returning to the airport after reporting severe vibrations. While attempting to land, the aircraft crashed into a  field, bounced and slid into mobile homes. A ground handler forgot to close an air start access door. The crew's failure to control and monitor the flight path and air speed of the aircraft after detecting the vibration."
1981-1990,1985,1985-01-22,"Off Puerto Castilla, Honduras",Military - U.S. Air Force,Military,Howard AFB - Trujillo AP,Lockheed C-130A,Lockheed,21.0,21.0,"Crashed into the Caribbean sea, 8 miles northwest of the airport where it was scheduled to land."
1981-1990,1985,1985-01-23,"Near Buga, Colombia",AIRES Colombia,Passenger,Florencia - Cali,Embraer 110P1 Bandeirante,Embraer,17.0,17.0,"The aircraft crashed into a mountain at 8,500 ft. while descending to land at Buga. Continued VFR flight into deteriorating weather conditions."
1981-1990,1985,1985-01-23,"Cerro el Plateado, Colombia",Aerolineas Centrales de Colombia,Passenger,Medellin - Quibdo,de Havilland Canada DHC-6 Twin Otter 300,de,23.0,23.0,"Crashed into a mountain at 11,500 ft.  In rainand fog.  Flying under VFR when conditions changed to IFR."
1981-1990,1985,1985-01-02,"Whitefield, New Hampshire",Air Taxi - Air Trends Inc.,Passenger,"Burlington, VT - Whitefield, NH",Piper PA-31-350,Piper,5.0,4.0,The aircraft crashed after executing a missed approach at Whitefield during IMC weather. The aircraft was seen at 300-400 ft agl during some part of the maneuvering near the airport. The aircraft seemed to be heading for the airport when last seen by ground observers. Fuel starvation. Fuel tank selector in wrong position.
1981-1990,1985,1985-01-02,"Minsk, Belarus, USSR",Aeroflot,Passenger,Minsk - Leningrad,Tupolev TU-134A,Tupolev,80.0,58.0,The aircraft crashed shortly after taking off from Minsk. Icing. Double engine failure.
1981-1990,1985,1985-04-02,"Soldotna, Alaska",North PacifiAirlines,Passenger,"Anchorage, AK - Anchorage, AK",Beech Queen Air 65-A80,Beech,9.0,9.0,Crashed into trees while attempting a go-around in poor weather. Improper minimum descent atlitiude and missed approach. Improper inflight decision. Improper missed approach. Minimum descent altitude not maintained.
1981-1990,1985,1985-06-02,"Altus, Oklahoma",Air Taxi - Oklahoma Airways Inc.,Passenger,"Altus, OK - Oklahoma City, OK",Cessna 402B,Cessna,2.0,2.0,"A witness saw smoke & fire trailing from the vicinity of the l eng. He stated that the aircraft's nose came up, the plane rolled to the left, then it entered a steep, nose down, inverted attitude just before it crashed & burned. Total failure of the exhaust manifold system. Inadequate inspection/maintenance."
1981-1990,1989,1989-10-18,"Nasosny, Russia",Military - Russian Air Force,Military,,Ilyushin IL-76MD,Ilyushin,57.0,57.0,Crashed into the Caspian sea after reporting an engine fire.
1981-1990,1985,1985-09-02,"Central Point, Oregon",Air Taxi - Mercy Flights Inc.,Passenger,"Gold Beach, OR - Metford, OR",Gulfstream AC-680F,Gulfstream,4.0,4.0,The pilot reported loss of power in both engines. Witness saw the aircraft gilding wings level towards the runway when a loud rev was heard. The aircraft then pitched up and rolled left to an inverted position before ground contact and explosion. Misjudged emergency procedure. Airspeed not maintained. Directional control not maintained. Throttle/power control not corrected.
1981-1990,1985,1985-02-16,"Banjarmasin, Indonesia",Dirgantara Air Services,Passenger,,Britten-Norman BN-2A Islander,Britten-Norman,10.0,9.0,Struck a mountain in poor weather conditions.
1981-1990,1985,1985-02-19,"Near Durango, Vizcaya, Spain",Iberia Airlines,Passenger,Madrid - Bilbao,Boeing B-727-256,Boeing,148.0,148.0,The aircraft crashed into an antenna on Mt. Oiz. Incorrect interpretation of Ground Proximity Warning System. The captain was heard shouting 'shut up' at the GPWS as it announced 'pull up.'  Overconfidence in altitude alert system. Incorrect interpretation of its warnings.
1981-1990,1985,1985-02-19,"300 nm NW of San Francisco, California",China Airlines (Taiwan),Passenger,Taipei - Los Angeles,Boeing B-747-SP-09,Boeing,274.0,0.0,"The aircraft descended in an uncontrolable dive, from 41,000 to 9,500 ft. after the crew shut down an engine.  The captain, preoccupied the malfunctioning engine, didn't properly monitor instruments and over relied on the autopilot and did not use his rudder to keep the plane from rolling . The autopilot disengaged after it could not handle the excessive roll caused by the shut down engine. The captain failed to make the proper flight corrections to recover the aircraft. After a terrifying series of inadvertent aerobatics, the plane leveled off at 9,500 feet and managed to land safely at San Francisco. Forces during the inverted spin were estimated to be from +6G to -4G. The landing gear was forced out through the closed doors, breaking the doors, which flew back and took out part of the rudder and elevator."
1981-1990,1985,1985-02-22,"Timbuktu, Mali",Air Mali,Passenger,Tombouctou - Bamako,Antonov AN-24V,Antonov,51.0,50.0,Crashed after taking off. The plane was not able to return to the airport after experiencing an engine failure.
1981-1990,1985,1985-02-25,"Near Valdez, Alaska",Military - U.S. Air Force,Military,,Boeing RC-135T,Boeing,3.0,3.0,Struck a mountain in poor weather.
1981-1990,1985,1985-12-03,"Fort Hood, Texas",Military - U.S. Air Force,Military,Training,Lockheed C-130E Hercules,Lockheed,6.0,6.0,Stalled during a training exercise and crashed.
1981-1990,1985,1985-03-28,"Near Florencia, Colombia",SATENA,Passenger,Bogota - San Vicente del Caguán - Florencia,Fokker F-28 Fellowship 3000,Fokker,46.0,46.0,The domestiflight crashed into a mountain while attempting to land at Florencia in rain and fog.
1981-1990,1985,1985-11-04,"Salta, Argentina",YPF,Passenger,Buenos Aires - Salta,HS-125-700B,HS-125-700,7.0,7.0,After an aborted landing attempt the aircraft struck a mountain in poor weather conditions.
1981-1990,1985,1985-04-13,"Athens, Louisiana",Air Taxi - Eidoarie Inc.,Passenger,"El Dorado, AR - Houston, TX",Cessna 320B,Cessna,4.0,4.0,Crashed on a dark night while en route to Shreveport. Reason for occurrence unknown. Possible loss of DC power causing the pilot to lose control of the aircraft during a dark night and turbulent instrument flight.
1981-1990,1985,1985-04-15,"Near Phuket, Thailand",Thai Airways,Passenger,,Boeing B-737-200,Boeing,11.0,11.0,The aircraft hit high ground during good weather conditions and after transmitting an emergency message that they had lost both engines.
1981-1990,1985,1985-04-16,"Las Cruces, New Mexico",American Airlines,Passenger,"Dallas, TX - San Diego, CA",Boeing B-727-227,Boeing,89.0,0.0,While cruising at FL 350 a loud noise was heard followed by a severe jolt. The No. 3 engine separated from the aircraft. A damaged O ring allowed leakage from the forward lavatory waste drain valve. Four gallons of fluid leaked and froze on the exterior of the plane and then broke away in chunks and smashed into the engine. They plane landed safely.
1981-1990,1985,1985-04-19,"Tuba City, Arizona",Air Taxi - Monument Valley Air Service,Passenger,"Tuba City, AZ - Page, AZ",Cessna U206G,Cessna,6.0,6.0,Medical transportation flight during the early morning hours in marginal weather conditions. The flight was not completed and was returning to the departure airport when it descended into desert terrain 10 miles short of its destination. Flight into known adverse weather.
1981-1990,1985,1985-04-20,"Kulusuk, Greenland",Aeronica,Passenger,Positioning,Fokker F-27 Friendship 100,Fokker,5.0,2.0,After a fuel transfer problem the plane crashed while trying to make an emergency landing in snow. Poor weather and failure of the crew to follow proper procedures with the auxiliary fuel system.
1981-1990,1985,1985-04-20,"Santa Rosa, Bolivia",Carga Aereo Transportada,Passenger,,Convair CV-440,Convair,4.0,4.0,The cargo plane lost an engine on talkeoff nosed down and crashed.
1981-1990,1985,1985-03-05,"Near L'vov, Ukraine, USSR",Aeroflot / Soviet Air Force,Passenger,Tallin - L'vov,Tupolev TU-134A / Antonov An-26,Tupolev,76.0,76.0,Midair collision as the Tupolev-134A prepared to land and the Antonov An-26 just took off.  Violations by the civil approach and military controllers. Misidentification of both aircraft. Seventy-one killed on the TU134 and twenty-three on the Antonov.
1981-1990,1985,1985-06-05,"Off Tanegashima, Japan",Military - U.S. Marine Corps,Military,"Iwakuni - Fulemma, Okinawa",CH-53D,CH-53,17.0,17.0,The helicopter crashed into the East China Sea.
1981-1990,1985,1985-05-15,"Vilanculos, Mozambique",Empresa Nacional de Transp.  Trabalho Aereo,Passenger,,Britten-Norman BN-2 Islander,Britten-Norman,5.0,5.0,Crashed while attempting an emergency landing along a beach.
1981-1990,1985,1985-05-16,"Golovin, Alaska",Air Taxi,Passenger,"Golovin, AK - Elim, AK",Cessna C-207A,Cessna,5.0,2.0,"According to the pilot-in-command, he was attempting to fly through a mountain saddle. As he turned towards the mountain and began his climb the weather deteriorated rapidly with ceilings zero, visibility zero and severe turbulence. The airplane struck the side of a 1,707 foot high mountain at the 1,590 foot level on a magnetiheading of 015 degrees. The pilot-in-command stated that just prior to impact he could not see anything. Continued VFR flight into IMC. Poor judgement. Improper planning."
1981-1990,1985,1985-05-21,"Harrison, Arkansas",Acme Air,Passenger,"Branson, MO - Harrison, AR",Cessna 501 Citation I,Cessna,2.0,2.0,The plane struck a mountain while on approach. Improper IFR procedure. Improper use of navigational instruments. Low ceiling and rain.
1981-1990,1985,1985-05-28,"Cabimas, Venezuela",Avensa,Passenger,,Convair CV-580,Convair,13.0,2.0,"The aircraft's tail struck a hill 1,500 feet from the end of the runway after which an emergency crash landing was made."
1981-1990,1985,1985-05-31,"Nashville, Tennessee",General Aviation Inc.,Passenger,Nashville - Indianapolis,Grumman G-159 Gulfstream I,Grumman,2.0,2.0,The cargo plane crashed after losing the No. 1 engine. Fuel starvation. Pilot had the fuel selector for the No. 1 engine in the off and feathered position.
1981-1990,1985,1985-06-14,"Athens, Greece",Trans World Airlines,Passenger,Athens - Rome,Boeing B-727-231,Boeing,153.0,1.0,The aircraft was hijacked while en route from Athens to Rome over Italian airspace. U.S. Navy diver Robert Stethem was murdered aboard.
1981-1990,1985,1985-06-23,"Juara, Brazil",TABA,Passenger,Juara - Cuiaba,Embraer 110P Bandeirante,Embraer,17.0,17.0,The plane stalled and crashed into an emergency vehicle while making an emergency landing attempt after an engine caught fire. A faulty fuel injection nozzle caused a blow torch effect damaging the compressor turbine vane ring and causing thermal fatigue and loss of one of the turbine blades.The resulting imbalance ruptured the starting control bypass fuel return line.
1981-1990,1985,1985-06-23,"AtlantiOcean, 110 miles West of Ireland",Air India,Passenger,Montreal - London,Boeing B-747-237B,Boeing,329.0,329.0,"The aircraft broke up in flight and crashed into the ocean. Detonation of an explosive device in the forward cargo hold. Terrorist working in Vancouver, Canada, checked baggage with bombs onto two flights. One bag transferred at Toronto onto flight 182. The other would have been transferred at Tokyo onto another Air India flight, but exploded at the airport killing 2 baggage handlers. The aircraft was named 'Kanishka.'"
1981-1990,1985,1985-06-28,"Charlotte, North Carolina",Air Taxi,Passenger,,Piper PA-42,Piper,2.0,2.0,The aircraft collided with trees and a pole short of the runway during a night VFR approach to land.  Poor VFR procedures. Overconfildence in personal ability. Poor judgement. Proper altitude not maintained. Exceeded proper descent rate.
1981-1990,1985,1985-10-07,"Near Uchuduk, Uzbekistan, USSR",Aeroflot,Passenger,Karshi - Leningrad,Tupolev TU-154B-2,Tupolev,200.0,200.0,The aircraft went into an uncontrolled descent from FL 400 and crashed.
1981-1990,1985,1985-07-19,"Near Erie, Pennsylvania",Air Ohio - Air Taxi,Passenger,"Louisville, KY - Cleveland, OH",Aerostar 601,Aerostar,2.0,2.0,"During a normal IFR cruise flight, the pilot of air Ohio flight 21, did not respond to ATC instructions. Air Ohio flight 21 continued for 40 minutes with no reply and without deviation in altitude or heading until the discrete target disappeared from radar over Lake Erie. The pilot had not slept for approximately 30 hours prior to the loss of communication response."
1981-1990,1985,1985-07-24,"Leticia, Colombia",Fuerza Aérea Colombiana,Passenger,Leticia - Bogota,Douglas DC-6B,Douglas,80.0,80.0,"Crashed into the Amazon jungle in poor weather, after the crew reported a fire in the No. 3 engine. The last words from the aircraft was 'We're falling.'"
1981-1990,1985,1985-02-08,"Ft. Worth-Dallas, Texas",Delta Air Lines,Passenger,Fort Lauderdale - Dallas-Fort Worth,Lockheed L-1011-1 TriStar,Lockheed,163.0,134.0,"While on a flight from Fort Lauderdale, FL to Dallas/ Forth Worth, the aircraft crashed while making an landing attempt in thunderstorm activity. The plane touched down 6,000 feet short of the runway and 360 feet to the left of the runway centerline, became airborne again, struck a car killing the driver, crossed the highway and crashed into two water tank reservoirs. Microburst induced windshear. The flightcrew's decision to initiate and continue the approach into a cumulonimbus cloud which they observed to contain lightning. Lack of training for avoiding and escaping from low-altitude windshear."
1981-1990,1985,1985-12-08,"Mt. Osutaka, near Ueno Village, Japan",Japan Air Lines,Passenger,Tokyo - Osaka,Boeing B-747-SR46,Boeing,524.0,520.0,"The aircraft suffered an aft pressure bulkhead failure at 23,900 ft. The aircraft had severe control difficulties with loss of all controls and eventually after 40 minutes, collided with a mountain. Improper repair of the  bulkhead while being supervised by Boeing engineers after a tail strike in 1978. Worst single plane disaster in aviation history. Kyu Sakamoto, 43, famous for his Japanese song 'Sukiyaki' was killed in the accident."
1981-1990,1985,1985-12-08,"Mulia, Indonesia",Merpati Nusantara Airlines,Passenger,,de Havilland Canada DHC-6 Twin Otter 300,de,19.0,8.0,
1981-1990,1985,1985-08-15,"Aden, Yemen",Alyemda Airlines,Passenger,Aden - Abu Dahbi,Boeing 707-336C,Boeing,73.0,3.0,"As the plane reached FL230, water was spilled on the autopilot panel and the crew had to disengage the autopilot because the stabilizer trim wheel started to rotate. Control was lost as the plane pitched up and down. Control was regained at 1,000 ft. and an emergency landing was carried out."
1981-1990,1985,1985-08-20,"Gulkana, Alaska",Air Taxi - Jet Alaska,Passenger,"Anchorage, AK - Gulkana, AK",Learjet 24D,Learjet,3.0,3.0,"During a night arrival, the flight was on an instrument approach to the Gulkana Airport when radio contact with the aircraft was lost. Search was initiated & the wreckage was found 7.4 mi north of the terminal VORr on the 330 deg radial.  Improper IFR procedure. Minimum descent altitude not maintained."
1981-1990,1985,1985-08-22,"Manchester, England",British Airtours,Passenger,Manchester - Kerkira,Boeing B-737-236,Boeing,137.0,55.0,"During takeoff from Manchester, failure of the No. 9 combustor on the port engine resulted in its ejection from the engine and fracturing of the fuel tank access panel and resulting fire. The fire spread into the cabin incapacitating and killing passengers due to toxismoke. Thermal metal fatigue of the combustor. Slow braking, using reverse thrust and turning the aircraft to starboard, sideways to a prevailing wind, all helped to feed the flames. The aircraft was named 'River Orrin.'"
1981-1990,1985,1985-08-25,"Auburn, Maine",Bar Harbor Airlines,Passenger,"Boston, MA - Auburn, ME",Beechcraft 99,Beechcraft,8.0,8.0,"While on approach, ATC noticed the flight was east of course and the crew was given instructions to correct.   The crew then tried, unsuccessfully to intercept the glideslope. The plane struck trees and crashed short and right of the runway centerline. The pilot's continuation of an unstabilized approach which resulted in a descent below glideslope. Improper IFR procedure by pilot. Missed approach not performed. Decision height not identified. Samantha Smith, 13, along with her father were killed. She became famous for writing to Soviet leader Yuri Andropov about her fear of nuclear war. She later visited him in Moscow."
1981-1990,1985,1985-08-27,"Beale AFB, California",Military - U.S. Air Force,Military,Training,Boeing KC-135A,Boeing,7.0,7.0,Crashed while trying to land with 3 engines.
1981-1990,1985,1985-08-30,"Kokoda, Papua New Guinea",Douglas Airways,Passenger,,Britten-Norman BN-2A Islander,Britten-Norman,5.0,3.0,
1981-1990,1985,1985-04-09,"Near Kandahar, Afghanistan",Ariana Afghan Airlines,Passenger,Kandahar - Farah,Antonov AN-26,Antonov,52.0,52.0,Shot down by rebels with a ground-to-air missile while flying at FL130.
1981-1990,1985,1985-06-09,"Milwaukee, Wisconsin",Midwest Express,Passenger,Milwaukee - Atlanta,McDonnell Douglas DC-9-14,McDonnell,31.0,31.0,The aircraft stalled and dove into the ground as it  took off.  Failure of right engine after compressor spacer failure precipitated by a fatigue crack. The crew's improper use of flight controls in response to the catastrophifailure of the right engine during a critical phase of flight which led to an accelerated stall and loss of control of the airplane. Contributing to the loss of control was a lack of crew coordination in response to the emergency.
1981-1990,1985,1985-09-22,Afghanistan,Military - Soviet Air Force,Military,,Antonov AN-12,Antonov,26.0,26.0,Shot down by Afghan rebels.
1981-1990,1985,1985-09-23,"Grottoes Grove, Virginia",Air Taxi - Henson Airlines,Passenger,"Washington D.C. Baltimore, MD",Beechcraft B99,Beechcraft,14.0,14.0,"The aircraft hit a mountain while on approach in level flight at an altitude of 2,400 feet. Navigational error by the crew resulting from their use of the incorrect navigational facility and their failure to adequately monitor the flight instruments. Improper IFR procedure. Lack of proper radio equipment. Playwright, Larry Shue, 39, killed."
1981-1990,1985,1985-09-25,"Near Kharkov, Ukraine",MAP,Passenger,Dnepropetrovsk - Moscow,Antonov An-12,Antonov,9.0,9.0,The plane crashed en route after a fire in the No. 1 engine which led to the seperation of the outer wing.
1981-1990,1985,1985-09-29,"Jenkinsburg, Georgia",Air Carriers Express Services Inc,Passenger,Parachuting,Cessna 208 Caravan I,Cessna,17.0,17.0,Lost power and spiraled into the ground after takeoff. Contaminated fuel. Overloaded.
1981-1990,1985,1985-04-10,"Tory Canal, New Zealand",Air Albatross,Passenger,,Cessna 402B,Cessna,9.0,8.0,Crashed into power lines.
1981-1990,1985,1985-09-10,"Vitória da Conquista, Brazil",Nordeste Linhas Aéreas,Passenger,,Embraer 110C Bandeirante,Embraer,2.0,2.0,The pilot of the cargo plane stayed at a low altitude after taking off in IMC conditons and crashed.
1981-1990,1985,1985-10-10,"Off South Head, Australia",Pel Air,Passenger,Sidney - Brisbane,IAI 1124 Westwind,IAI,2.0,2.0,"After attaining 5,000 ft. the cargo plane lost control crashed into Botany Bay after taking off from Sydney."
1981-1990,1985,1985-11-10,"Near Beni, Bolivia",Sabeni,Passenger,Beni - La Paz,Curtiss C-46D,Curtiss,2.0,2.0,Crashed into mountains while en route.
1981-1990,1985,1985-11-10,"Near Kutayissi, USSR",Aeroflot,Passenger,,Yakovlev YAK-40,Yakovlev,14.0,14.0,Crashed into a mountain slope after taking off in bad weather. Instructions to climb normally were delayed because of traffic.
1981-1990,1985,1985-11-10,"Homer City, Pennsylvania",Mountain Air Cargo,Cargo,State College - Pittsburgh,de Havilland Canada DHC-6 Twin Otter 200,de,1.0,1.0,The cargo plane struck high ground while en route. Pilot error. Altitude not maintained. Improper clearance.
1981-1990,1985,1985-12-10,"Putao, Myanmar",Burma Airways,Passenger,,Fokker F-27 Friendship 600,Fokker,4.0,4.0,The cargo plane overfew the runway and crashed one mile beyond the end.
1981-1990,1985,1985-10-22,"Near Juneau, Alaska",Jet Alaska,Passenger,Anchorage - Juneau,Learjet 24XR,Learjet,4.0,4.0,"The air ambulance crashed into a mountain at 3,500 ft. while attempting to land. Crew became lost and disoriented and made a premature descent."
1981-1990,1985,1985-01-11,"Bethel, Alaska",Air Taxi- Hermans Air Inc.,Passenger,"Bethel, AK - Chevak, AK",Cessna 208,Cessna,4.0,2.0,A total loss of power was experienced on takeoff due to the fuel selectors being in the off position. The pilot attempted to restart the engine during which time the aircraft entered a stall and collided with the terrain. Checklist not used. Fuel tank selector in wrong position.
1981-1990,1985,1985-11-15,"Dothan, Alabama",Military - U.S. Air Force,Military,Test flight,Convair CV-340,Convair,4.0,4.0,Crashed during a test flight.
1981-1990,1985,1985-11-16,"Quinhagaki, Alaska",Air Taxi,Passenger,"Bethel, AK - Quinhagaki, AK",Piper PA-32-300,Piper,7.0,4.0,The aircraft crashed on the frozen level tundra at night while on a part 135 air taxi flight. The investigation revealed the commercial rated air taxi pilot did not have a 135 air taxi check ride or competency check. The pilot's certificate prohibited him to carry passengers for hire at night or more than 50 mile cross country flight. At time of the accident the weather was below VFR conditions and the pilot did not receive a weather briefing. Continued VFR flight into IMC.
1981-1990,1985,1985-11-21,"Near Sibyak, Indonesia",Military - Indonesian Air Force,Military,,Lockheed C-130H Hercules,Lockheed,11.0,11.0,Crashed into a mountain.
1981-1990,1985,1985-11-24,"Luqa, Malta",EgyptAir,Passenger,Athens - Cairo,Boeing B-737-266,Boeing,103.0,60.0,"Hijacking. While on the ground at Malta to refuel the aircraft was stormed by Egyptian forces. During the fight, several hand grenades were thrown into the cabin causing a fire."
1981-1990,1985,1985-11-25,"Near Luassingua, Angola",Military - Angolan Air Force,Military,,Antonov AN-26,Antonov,22.0,22.0,Shot down by South African anti-aircraft fire.
1981-1990,1985,1985-12-12,"Gander, Newfoundland, Canada",Arrow Airways,Passenger,"Gander - Fort Campbell, KY",McDonnell Douglas DC-8 Super 63PF,McDonnell,256.0,256.0,"The aircraft stalled and crashed during takeoff. Two-hundred-forty-four members of the 101st Airborne Division from Fort Campbell, Kentucky  were killed in the accident. There is controversy surrounding this crash. The majority opinion of the board was that the cause of the sequence leading up to the stall and crash could not be determined, with icing a possibility. The minority opinion was that the crash was possibly caused by detonation of an explosive device of unknown origin in a cargo compartment which led to an in-flight fire and loss of control of the aircraft."
1981-1990,1985,1985-12-30,Nepal,Military - Royal Nepalese Air Force,Military,,Short SC7- Skyvan,Short,25.0,25.0,
1981-1990,1985,1985-12-31,"De Kalb, Texas",Private,Passenger,Guntersville - Dallas/Ft. Worth,Douglas DC-3,Douglas,9.0,7.0,"The plane crash landed into a field and struck a pole then continued into trees after dense smoke filled the plane and cockpit. The fire most likely started in a defective cabin heater but was not determined for sure. Singer Rick Nelson, 45, fiancée Helen Blair, 27, soundman Clark Russell and the members of his back-up group The Stone Canyon Band, Andy Chapin, 20, Rick Intveld, 22, Bobby Neal, 38, and Patrick Woodward, 35 were killed. Both pilots survived after climbing out the cockpit windows. Nelson had purchased the DC-3 in May 1985 from Jerry Lee Lewis and the craft had been forced to make two emergency landings in the previous six months. Nelson and his band were en route to perform at the half-time festivities at the Cotton Bowl."
1981-1990,1986,1986-01-18,"Near Peten, Guatemala",Aerovias de Guatemala SA,Passenger,Guatemala City - Flores,Sud-Aviation  Caravelle VI-N,Sud-Aviation,87.0,87.0,"After initiating an overshoot and attempting to land for a second time, the plane crashed into a hilly area in the jungle. There were low lying clouds in the area."
1981-1990,1986,1986-01-21,"Ellendale, Minnesota",Air Taxi,Passenger,,Bell 296B,Bell,3.0,3.0,"The purpose of the flight was to take a news crew to a location to cover a story. The news crew had attempted to hire another helicopter, but that operator refused due to forecast low visibility. This pilot, however, agreed to fly. Although he was certified for instrument flight in airplanes, the pilot was not qualified for instrument flight in helicopters, nor was the helicopter certified for instrument flight. The helicopter crashed & burned approximately 100' from the highway near a power line crossing. Impact occurred while the helicopter was in a shallow descent, heading away from the highway & parallel with the power line. Continued VFR flight into IMC. Overconfidence in personal ability."
1981-1990,1986,1986-01-28,"Sao Paulo, Brazil",VASP,Passenger,Sao Paulo - Belo Horizonte,Boeing B-737-2A1,Boeing,72.0,1.0,The crew accidently tried to take off from a taxiway. The takeoff was aborted but the aircraft overran the runway and collided with a embankment and broke in two. There was heavy fog in the area.
1981-1990,1986,1986-01-29,"Las Lomitas, Mexico",Aerocalifornia,Passenger,Villa Constitucion - Los Mochis,Douglas DC-3A-178,Douglas,21.0,21.0,The plane tried to land at Los Mochis but had to divert to Las Lomitas because of fog. The airport was not approved for commercial flights and the plane crashed into a hill near the airport while attempting to land.
1981-1990,1986,1986-05-02,"Kasongo, Zaire",GLM Aviation,Passenger,,Lockheed L-188AF Electra,Lockheed,14.0,2.0,Crashed while attempting to make a forced landing.
1981-1990,1986,1986-02-16,"Off Makung, Taiwan",China Airlines (Taiwan),Passenger,Taipei - Makung,Boeing B-737-281,Boeing,13.0,13.0,The aircraft crashed into the sea during an attempted go-around after a missed landing attempt due to a burst nose gear tire.
1981-1990,1986,1986-02-03,"Near Bugulma, Russia",Aeroflot,Passenger,,Antonov AN-24B,Antonov,38.0,38.0,"The aircraft entered a left bank and turn, stalled and crashed 5 miles short of the runway. Failure of the autofeather sensor circuit breaker caused propellers to feather."
1981-1990,1986,1986-03-03,"Bern, Switzerland",Taxair,Passenger,,Cessna 425 Conquest,Cessna,8.0,8.0,
1981-1990,1986,1986-03-13,"Alpena, Michigan",Simmons Airlines,Passenger,"Detroit, MI - Alpena, MI",Embraer 110P1 Bandeirante,Embraer,9.0,3.0,"After a missed approach due to bad weather, the plane was cleared for an ILS approach but crashed in a wooded area, short of the runway. The flight crew's continued descent of the airplane below the glideslope and through the published decision height without obtaining visual reference of the runway for undetermined reasons."
1981-1990,1986,1986-03-20,"Near Naha, Indonesia",Merpati Nusantara Airlines,Passenger,,CASA 212 Aviocar 100,CASA,16.0,2.0,"Crashed into high ground at 1, 900 ft. while flying IFR in rain."
1981-1990,1986,1986-03-24,"Goose Bay, Newfoundland, Canada",Goose Bay Air Services,Passenger,Snegamook Lake - Goose Bay,de Havilland Canada DHC-3 Otter,de,5.0,4.0,"A fatigue initiated crack in the number nine cylinder head caused the engine to run rough and lose power. While the pilot was manoeuvring for the precautionary landing in whiteout conditions, the aircraft crashed. At impact, the fuel cells ruptured, and a fire erupted which destroyed the aircraft."
1981-1990,1986,1986-03-25,"Omsk, Soviet Union",Ministerstvo Obshchestvo Mashinostroyeniya,Passenger,,Antonov An-12AP,Antonov,9.0,9.0,"Undershot the runway, overturned and caught fire."
1981-1990,1986,1986-03-27,"Bangui, Central African Republic",Military - French Air Force,Military,,Sepecat Jaguar A,Sepecat,0.0,0.0,The jet fighter crashed into a school shortly after taking off after experiencing engine failure.
1981-1990,1986,1986-03-30,"Near Pemba, Mozambique",Military - Mozambique Air Force,Military,Pemba - Maputo,Antonov AN-26,Antonov,54.0,49.0,The aircraft crashed while making an emergency return to the airfield after experiencing engine failure on takeoff.
1981-1990,1986,1986-03-31,"Maravatio, Mexico",Mexicana,Passenger,Mexico City - Puerto Vallarta,Boeing B-727-264,Boeing,167.0,167.0,"While climbing through 29,000 feet, an overheated tire exploded in the wheel well after takeoff and damaged the hydrauliand electrical systems of the aircraft. The plane lost control and crashed. The tire had been serviced with air rather than nitrogen. The air, under high temperature and pressure, resulted in a chemical reaction within the tire itself which led to a explosion of the tire."
1981-1990,1986,1986-02-04,"Near Athens, Greece",Trans World Airlines,Passenger,Rome - Athens,Boeing B-727,Boeing,121.0,4.0,Detonation of a explosive device in the passenger compartment causing four passengers to be sucked out.  The plane landed safely at Athens. The plastiexplosive was left under a seat by a woman carrying a Lebanese passport.
1981-1990,1986,1986-02-04,"Near Magdalena, New Mexico",Military - U.S. Air Force,Military,,Lockheed HC-130P Hercules,Lockheed,11.0,11.0,Lost a wing in heavy turbulence at low altitude.
